,Tweet Id
0,1.39662E+18
1,1.39662E+18
3,1.39662E+18
4,1.39662E+18
5,1.39662E+18
6,1.39662E+18
7,1.39662E+18
8,1.39662E+18
9,1.39662E+18
10,1.39662E+18
11,1.39662E+18
12,1.39662E+18
13,1.39662E+18
14,1.39662E+18
16,1.39662E+18
17,1.39662E+18
18,1.39662E+18
19,1.39662E+18
20,1.39662E+18
21,1.39662E+18
22,1.39662E+18
23,1.39662E+18
24,1.39662E+18
25,1.39662E+18
26,1.39662E+18
28,1.39662E+18
29,1.39662E+18
30,1.39662E+18
31,1.39662E+18
32,1.39662E+18
33,1.39662E+18
34,1.39662E+18
35,1.39661E+18
36,1.39661E+18
37,1.39661E+18
38,1.39661E+18
39,1.39661E+18
40,1.39661E+18
41,1.39661E+18
42,1.39661E+18
43,1.39661E+18
44,1.39661E+18
45,1.39661E+18
46,1.39661E+18
47,1.39661E+18
48,1.39661E+18
49,1.39661E+18
50,1.39661E+18
52,1.39661E+18
53,1.39661E+18
55,1.39661E+18
56,1.39661E+18
57,1.39661E+18
58,1.39661E+18
59,1.39661E+18
60,1.39661E+18
61,1.39661E+18
62,1.39661E+18
63,1.39661E+18
64,1.39661E+18
65,1.39661E+18
66,1.39661E+18
67,1.39661E+18
68,1.39661E+18
69,1.39661E+18
70,1.39661E+18
71,1.39661E+18
72,1.39661E+18
73,1.39661E+18
74,1.39661E+18
75,1.39661E+18
76,1.39661E+18
77,1.39661E+18
78,1.39661E+18
79,1.39661E+18
80,1.39661E+18
81,1.39661E+18
82,1.39661E+18
83,1.39661E+18
84,1.39661E+18
85,1.39661E+18
86,1.39661E+18
87,1.39661E+18
88,1.39661E+18
89,1.39661E+18
90,1.39661E+18
91,1.39661E+18
92,1.39661E+18
93,1.39661E+18
94,1.39661E+18
95,1.39661E+18
96,1.39661E+18
97,1.39661E+18
98,1.39661E+18
99,1.39661E+18
100,1.39661E+18
101,1.39661E+18
102,1.39661E+18
103,1.39661E+18
104,1.39661E+18
105,1.39661E+18
106,1.39661E+18
107,1.39661E+18
108,1.39661E+18
109,1.39661E+18
110,1.39661E+18
111,1.39661E+18
112,1.39661E+18
113,1.39661E+18
114,1.39661E+18
115,1.39661E+18
116,1.39661E+18
117,1.39661E+18
118,1.39661E+18
119,1.39661E+18
120,1.39661E+18
121,1.39661E+18
122,1.39661E+18
123,1.39661E+18
124,1.39661E+18
125,1.39661E+18
126,1.39661E+18
127,1.39661E+18
128,1.39661E+18
129,1.39661E+18
130,1.39661E+18
131,1.39661E+18
132,1.39661E+18
133,1.39661E+18
134,1.39661E+18
137,1.39661E+18
138,1.39661E+18
139,1.39661E+18
140,1.39661E+18
141,1.39661E+18
142,1.39661E+18
143,1.39661E+18
144,1.39661E+18
145,1.39661E+18
146,1.39661E+18
147,1.39661E+18
148,1.39661E+18
149,1.39661E+18
150,1.39661E+18
151,1.39661E+18
152,1.39661E+18
153,1.39661E+18
154,1.39661E+18
155,1.39661E+18
156,1.39661E+18
157,1.39661E+18
158,1.39661E+18
159,1.39661E+18
160,1.39661E+18
161,1.39661E+18
163,1.39661E+18
164,1.39661E+18
167,1.39661E+18
168,1.39661E+18
169,1.39661E+18
170,1.39661E+18
171,1.39661E+18
172,1.39661E+18
174,1.39661E+18
175,1.39661E+18
177,1.39661E+18
179,1.39661E+18
180,1.39661E+18
181,1.39661E+18
182,1.39661E+18
184,1.39661E+18
186,1.39661E+18
187,1.39661E+18
188,1.39661E+18
189,1.39661E+18
191,1.39661E+18
192,1.39661E+18
194,1.39661E+18
195,1.39661E+18
196,1.39661E+18
197,1.39661E+18
198,1.39661E+18
199,1.39661E+18
200,1.39661E+18
201,1.39661E+18
202,1.39661E+18
203,1.39661E+18
204,1.39661E+18
205,1.39661E+18
207,1.39661E+18
208,1.39661E+18
211,1.3966E+18
212,1.3966E+18
213,1.3966E+18
214,1.3966E+18
216,1.3966E+18
217,1.3966E+18
218,1.3966E+18
219,1.3966E+18
220,1.3966E+18
221,1.3966E+18
222,1.3966E+18
223,1.3966E+18
224,1.3966E+18
225,1.3966E+18
226,1.3966E+18
227,1.3966E+18
228,1.3966E+18
229,1.3966E+18
230,1.3966E+18
231,1.3966E+18
232,1.3966E+18
233,1.3966E+18
234,1.3966E+18
235,1.3966E+18
236,1.3966E+18
238,1.3966E+18
239,1.3966E+18
240,1.3966E+18
242,1.3966E+18
245,1.3966E+18
246,1.3966E+18
247,1.3966E+18
248,1.3966E+18
250,1.3966E+18
251,1.3966E+18
252,1.3966E+18
253,1.3966E+18
255,1.3966E+18
256,1.3966E+18
257,1.3966E+18
258,1.3966E+18
259,1.3966E+18
260,1.3966E+18
261,1.3966E+18
263,1.3966E+18
264,1.3966E+18
266,1.3966E+18
267,1.3966E+18
268,1.3966E+18
269,1.3966E+18
270,1.3966E+18
271,1.3966E+18
272,1.3966E+18
273,1.3966E+18
274,1.3966E+18
275,1.3966E+18
276,1.3966E+18
277,1.3966E+18
278,1.3966E+18
279,1.3966E+18
280,1.3966E+18
281,1.3966E+18
282,1.3966E+18
283,1.3966E+18
284,1.3966E+18
285,1.3966E+18
286,1.3966E+18
287,1.3966E+18
288,1.3966E+18
291,1.3966E+18
292,1.3966E+18
293,1.3966E+18
294,1.3966E+18
295,1.3966E+18
296,1.3966E+18
297,1.3966E+18
298,1.3966E+18
299,1.3966E+18
300,1.3966E+18
301,1.3966E+18
303,1.3966E+18
304,1.3966E+18
305,1.3966E+18
307,1.3966E+18
308,1.3966E+18
309,1.3966E+18
310,1.3966E+18
311,1.3966E+18
313,1.3966E+18
314,1.3966E+18
315,1.3966E+18
317,1.3966E+18
318,1.3966E+18
319,1.3966E+18
320,1.3966E+18
321,1.3966E+18
324,1.3966E+18
325,1.3966E+18
326,1.3966E+18
327,1.3966E+18
328,1.3966E+18
329,1.3966E+18
330,1.3966E+18
331,1.3966E+18
332,1.3966E+18
333,1.3966E+18
334,1.3966E+18
335,1.3966E+18
336,1.3966E+18
337,1.3966E+18
339,1.3966E+18
340,1.3966E+18
342,1.3966E+18
343,1.3966E+18
344,1.3966E+18
346,1.3966E+18
347,1.3966E+18
348,1.3966E+18
349,1.3966E+18
351,1.3966E+18
352,1.3966E+18
353,1.3966E+18
355,1.3966E+18
356,1.3966E+18
357,1.3966E+18
358,1.3966E+18
359,1.3966E+18
360,1.3966E+18
362,1.3966E+18
363,1.3966E+18
364,1.3966E+18
365,1.3966E+18
366,1.3966E+18
367,1.3966E+18
369,1.3966E+18
370,1.3966E+18
371,1.3966E+18
372,1.3966E+18
373,1.3966E+18
375,1.3966E+18
376,1.3966E+18
377,1.3966E+18
378,1.3966E+18
380,1.3966E+18
383,1.3966E+18
384,1.3966E+18
386,1.3966E+18
387,1.3966E+18
388,1.3966E+18
389,1.3966E+18
390,1.3966E+18
391,1.3966E+18
392,1.3966E+18
393,1.3966E+18
394,1.3966E+18
395,1.3966E+18
396,1.3966E+18
397,1.3966E+18
398,1.3966E+18
399,1.3966E+18
400,1.3966E+18
402,1.3966E+18
403,1.3966E+18
404,1.3966E+18
405,1.3966E+18
406,1.3966E+18
407,1.3966E+18
408,1.3966E+18
409,1.39659E+18
410,1.39659E+18
411,1.39659E+18
412,1.39659E+18
413,1.39659E+18
414,1.39659E+18
415,1.39659E+18
416,1.39659E+18
417,1.39659E+18
418,1.39659E+18
419,1.39659E+18
420,1.39659E+18
421,1.39659E+18
422,1.39659E+18
423,1.39659E+18
424,1.39659E+18
425,1.39659E+18
427,1.39659E+18
430,1.39659E+18
431,1.39659E+18
432,1.39659E+18
433,1.39659E+18
434,1.39659E+18
435,1.39659E+18
436,1.39659E+18
437,1.39659E+18
438,1.39659E+18
439,1.39659E+18
442,1.39659E+18
443,1.39659E+18
444,1.39659E+18
445,1.39659E+18
446,1.39659E+18
447,1.39659E+18
448,1.39659E+18
449,1.39659E+18
450,1.39659E+18
451,1.39659E+18
452,1.39659E+18
453,1.39659E+18
456,1.39659E+18
457,1.39659E+18
458,1.39659E+18
459,1.39659E+18
460,1.39659E+18
462,1.39659E+18
463,1.39659E+18
464,1.39659E+18
465,1.39659E+18
466,1.39659E+18
467,1.39659E+18
469,1.39659E+18
471,1.39659E+18
472,1.39659E+18
473,1.39659E+18
474,1.39659E+18
476,1.39659E+18
478,1.39659E+18
479,1.39659E+18
480,1.39659E+18
481,1.39659E+18
482,1.39659E+18
485,1.39659E+18
486,1.39659E+18
487,1.39659E+18
488,1.39659E+18
489,1.39659E+18
490,1.39659E+18
491,1.39659E+18
492,1.39659E+18
493,1.39659E+18
494,1.39659E+18
496,1.39659E+18
497,1.39659E+18
498,1.39659E+18
499,1.39659E+18
500,1.39659E+18
501,1.39659E+18
502,1.39659E+18
503,1.39659E+18
504,1.39659E+18
505,1.39659E+18
506,1.39659E+18
507,1.39659E+18
508,1.39659E+18
510,1.39659E+18
511,1.39659E+18
512,1.39659E+18
513,1.39659E+18
514,1.39659E+18
515,1.39659E+18
516,1.39659E+18
517,1.39659E+18
518,1.39659E+18
519,1.39659E+18
520,1.39659E+18
522,1.39659E+18
523,1.39659E+18
524,1.39659E+18
525,1.39659E+18
526,1.39659E+18
527,1.39659E+18
528,1.39659E+18
529,1.39659E+18
530,1.39659E+18
531,1.39659E+18
532,1.39659E+18
533,1.39659E+18
534,1.39659E+18
535,1.39659E+18
537,1.39659E+18
538,1.39659E+18
